id,id.1,weight
0,22305,1
0,22491,1
1,9243,1
1,10943,1
1,14322,1
2,16683,1
2,17109,1
2,21971,1
3,468,1
3,3642,1
3,4503,1
3,20762,1
5,11240,1
6,1960,1
6,4327,1
6,7675,1
6,10362,1
6,13371,1
6,14884,1
6,20045,1
6,22066,1
6,23294,1
6,24194,1
8,8090,1
9,3244,1
9,6782,1
9,8794,1
9,17137,1
9,18001,1
9,21051,1
9,23361,1
10,4132,1
10,5123,1
10,6953,1
10,9142,1
10,9331,1
10,9536,1
10,10318,1
10,11752,1
10,15246,1
10,20985,1
12,1850,1
13,20096,1
14,13305,1
14,15403,1
15,79,1
15,1952,1
15,18060,1
19,9822,1
19,13319,1
19,18455,1
20,15540,1
21,10656,1
21,21266,1
22,11580,1
23,4386,1
23,5337,1
23,16308,1
23,17698,1
23,20369,1
24,16999,1
25,2017,1
25,3969,1
25,4059,1
25,6010,1
25,7823,1
25,9924,1
25,12426,1
25,14311,1
25,16148,1
25,18235,1
25,18684,1
25,19224,1
25,19296,1
25,20775,1
25,22386,1
25,22835,1
25,23381,1
25,23421,1
25,24140,1
25,24447,1
25,24490,1
25,25023,1
26,9629,1
26,14950,1
26,15460,1
26,16556,1
26,17639,1
27,3664,1
28,2027,1
28,14029,1
29,8140,1
29,16696,1
29,22471,1
29,23241,1
30,4154,1
30,5325,1
30,8578,1
30,14912,1
30,15951,1
30,20048,1
30,24200,1
33,4068,1
33,15342,1
33,20318,1
34,662,1
34,4350,1
34,12840,1
34,12860,1
34,13150,1
34,17616,1
34,19800,1
34,20642,1
34,22219,1
34,24480,1
35,1615,1
35,2989,1
35,12498,1
36,12550,1
38,988,1
38,5678,1
38,16367,1
38,24598,1
40,2638,1
40,4949,1
40,5954,1
40,17378,1
41,24364,1
42,2557,1
42,18540,1
43,8004,1
43,14678,1
43,23361,1
44,165,1
44,3261,1
44,5522,1
44,6082,1
44,21953,1
44,24470,1
46,2287,1
46,2384,1
46,3016,1
46,4059,1
46,6738,1
46,7266,1
46,8469,1
46,18235,1
46,19052,1
46,20992,1
46,22015,1
46,22540,1
46,23381,1
47,11006,1
48,1279,1
