id,title,Real_Train,Real_Test,X_train,X_test,label
0,interactive visual exploration of neighbor based patterns in data streams,TRUE,FALSE,TRUE,FALSE,1
1,autodomainmine a graphical data mining system for process optimization,FALSE,TRUE,FALSE,FALSE,6
2,anipqo almost non intrusive parametric query optimization for nonlinear cost functions,FALSE,TRUE,FALSE,FALSE,6
3,relational division four algorithms and their performance,TRUE,FALSE,TRUE,FALSE,1
4,selection and ranking of text from highly imperfect transcripts for retrieval of video content,FALSE,TRUE,FALSE,FALSE,6
5,conditional random fields for multi agent reinforcement learning,FALSE,TRUE,FALSE,FALSE,6
6,simplifying xml schema effortless handling of nondeterministic regular expressions,TRUE,FALSE,TRUE,FALSE,1
7,multi dimensional description logics,FALSE,TRUE,FALSE,FALSE,6
8,funbase a function based information management system,TRUE,FALSE,TRUE,FALSE,0
9,inverted matrix efficient discovery of frequent items in large datasets in the context of interactive mining,TRUE,FALSE,TRUE,FALSE,0
10,fast on line index construction by geometric partitioning,FALSE,TRUE,FALSE,FALSE,6
11,computational aspects of covering in dominance graphs,TRUE,FALSE,TRUE,FALSE,2
12,reasoning about rings,FALSE,TRUE,FALSE,FALSE,6
13,feaspar   a feature structure parser learning to parse spoken language,TRUE,FALSE,TRUE,FALSE,4
14,transductive regression piloted by inter manifold relations,FALSE,TRUE,FALSE,FALSE,6
15,a fast and usually linear algorithm for global flow analysis,FALSE,TRUE,FALSE,FALSE,6
16,conditional constraint satisfaction logical foundations and complexity,FALSE,TRUE,FALSE,FALSE,6
17,on the role of old information in generating readable text a psychological and computational definition of old and new information in the nosvo system,FALSE,TRUE,FALSE,FALSE,6
18,assessing the scenic route measuring the value of search trails in web logs,TRUE,FALSE,TRUE,FALSE,0
19,shrinkage estimator generalizations of proximal support vector machines,FALSE,TRUE,FALSE,FALSE,6
20,webanywhere enabling a screen reading interface for the web on any computer,TRUE,FALSE,TRUE,FALSE,0
21,a multilingual paradigm for automatic verb classification,FALSE,TRUE,FALSE,FALSE,6
22,approximate query answering in locally closed databases,FALSE,TRUE,FALSE,FALSE,6
23,constraints on strong generative power,FALSE,TRUE,FALSE,FALSE,6
24,non standard semantics for the method of temporal arguments,TRUE,FALSE,TRUE,FALSE,2
25,mining correlated bursty topic patterns from coordinated text streams,FALSE,TRUE,FALSE,FALSE,6
26,learning markov logic network structure via hypergraph lifting,FALSE,TRUE,FALSE,FALSE,6
27,compact convex upper bound iteration for approximate pomdp planning,FALSE,TRUE,FALSE,FALSE,6
28,free ordered cug on chemical abstract machine,FALSE,TRUE,FALSE,FALSE,6
29,controlling interference in ambients,FALSE,TRUE,FALSE,FALSE,6
30,exsearch a novel vertical search engine for online barter business,TRUE,FALSE,TRUE,FALSE,0
31,query evaluation and progression in aol knowledge bases,TRUE,FALSE,TRUE,FALSE,2
32,cryptanalytic attacks on pseudorandom number generators,TRUE,FALSE,TRUE,FALSE,3
33,threshold concepts in computer science do they exist and are they useful,TRUE,FALSE,TRUE,FALSE,3
34,self taught clustering,FALSE,TRUE,FALSE,FALSE,6
35,recommendation method for extending subscription periods,FALSE,TRUE,FALSE,FALSE,6
36,nonexistence of voting rules that are usually hard to manipulate,TRUE,FALSE,TRUE,FALSE,2
