id,title
399149,prototypes for medical case based applications
399152,maximum margin active learning for sequence labeling with different length
399156,relative linkage disequilibrium a new measure for association rules
399158,an efficient similarity searching algorithm based on clustering for time series
399159,webangels filter a violent web filtering engine using textual and structural content based analysis
399161,data mining with neural networks for wheat yield prediction
399162,weighted association rule mining from binary and fuzzy data
399166,hopfield networks in relevance and redundancy feature selection applied to classification of biomedical high resolution micro ct images
399167,gep induced expression trees as weak classifiers
399169,designing specific weighted similarity measures to improve collaborative filtering systems
1318611,toward a verified relational database management system
1318613,dynamically checking ownership policies in concurrent cc programs
1318614,dependent types from counterexamples
1318615,contracts made manifest
1318616,modular verification of security protocol code by typing
1318617,a theory of indirection via approximation
1318618,semantics and algorithms for data dependent grammars
1318619,automatic numeric abstractions for heap manipulating programs
1318620,continuity analysis of programs
1318621,abstraction guided synthesis of synchronization
1318622,reconfigurable asynchronous logic automata rala
1318623,nominal system t
1318624,static determination of quantitative resource usage for higher order programs
1318625,from program verification to program synthesis
1318626,counterexample guided focus
1318627,automatically generating instruction selectors using declarative machine descriptions
1318628,integrating typed and untyped code in a scripting language
1318629,nested interpolants
1318630,compositional may must program analysis unleashing the power of alternation
1318631,threesomes with and without blame
1318632,modular session types for distributed object oriented programming
1318633,decision procedures for algebraic data types with abstractions
1318634,structuring the verification of heap manipulating programs
1318635,pure subtype systems
1318636,a simple verified validator for software pipelining
1318637,a relational modal logic for higher order stateful adts
1318638,monads in action
1318639,paralocks role based information flow control and beyond
1318640,programming with angelic nondeterminism
1318641,dependent types and program equivalence
1318642,generating compiler optimizations from proofs
1318643,program analysis via satisfiability modulo path programs
1318644,a verified compiler for an impure functional language
1318645,verified just in time compiler on x86
1318646,sequential verification of serializability
1318647,on the verification problem for weak memory models
1318648,low level liquid types
1318649,type inference for datalog with complex type hierarchies
1318650,coarse grained transactions
1318651,higher order multi parameter tree transducers and recursion schemes for program verification
11638,integrating description logics and action formalisms first results
11639,building semantic mappings from databases to ontologies
11643,old resolution meets modern sls
11645,partial compilation of strategic knowledge
11650,medethex a prototype medical ethics advisor
11653,a platform to evaluate the technology for service discovery in the semantic web
